source_id,answer,clue,part_of_speech,length,quality,dictionary_bits,review_decision,review_notes
"wn30:00892315-v","thank","express gratitude or show appreciation to","verb","5","94","3","",""
"wn30:00685683-v","reject","refuse to accept or acknowledge","verb","6","94","3","",""
"wn30:01684899-v","paint","make a painting","verb","5","94","3","",""
"wn30:10264437-n","linguist","a specialist in linguistics","noun","8","94","3","",""
"wn30:08573472-n","front","the side that is forward or prominent","noun","5","94","3","",""
"wn30:00781000-v","proceed","continue talking","verb","7","94","3","",""
"wn30:02611630-v","define","determine the essential quality of","verb","6","94","3","",""
"wn30:09428293-n","coast","the shore of a sea or ocean","noun","5","94","3","",""
"wn30:02021905-a","rich","possessing material wealth","adjective","4","94","3","",""
"wn30:13296899-n","benefit","financial assistance in time of need","noun","7","94","3","",""
"wn30:05933054-n","sight","an instance of visual perception","noun","5","94","3","",""
"wn30:02416278-v","cooperate","work together on a common enterprise of project","verb","9","94","3","",""
"wn30:00029367-r","furthermore","in addition","adverb","11","94","3","",""
"wn30:01282014-a","impressive","making a strong or vivid impression","adjective","10","94","3","",""
"wn30:00015388-n","creature","a living organism characterized by voluntary movement","noun","8","94","3","",""
"wn30:05837957-n","judgment","an opinion formed by judging something","noun","8","94","3","",""
"wn30:02023107-v","encounter","come together","verb","9","94","3","",""
"wn30:00666058-a","current","occurring in or belonging to the present time","adjective","7","94","3","",""
"wn30:02645007-v","total","add up in number or quantity","verb","5","94","3","",""
"wn30:14447908-n","health","a healthy state of wellbeing free from disease","noun","6","94","3","",""
"wn30:01545883-v","rest","not move; be in a resting position","verb","4","94","3","",""
"wn30:02700104-v","accord","go together","verb","6","94","3","",""
"wn30:00306426-n","journey","the act of traveling from one place to another","noun","7","94","3","",""
"wn30:14524849-n","atmosphere","a particular environment or surrounding influence","noun","10","94","3","",""
"wn30:00137915-r","respectively","in the order given","adverb","12","94","3","",""
"wn30:13983515-n","darkness","absence of light or illumination","noun","8","94","3","",""
"wn30:00641672-v","multiply","combine by multiplication","verb","8","94","3","",""
"wn30:00161193-r","readily","without much difficulty","adverb","7","94","3","",""
"wn30:13984944-n","shadow","shade within clear boundaries","noun","6","94","3","",""
"wn30:00173353-r","deeply","to a great depth psychologically","adverb","6","94","3","",""
"wn30:02599939-a","academic","associated with academia or an academy","adjective","8","94","3","",""
"wn30:07511733-n","hope","a specific instance of feeling hopeful","noun","4","94","3","",""
"wn30:00890590-v","assure","make certain of","verb","6","94","3","",""
"wn30:00100267-r","late","later than usual or than expected","adverb","4","94","3","",""
"wn30:02161432-a","significant","important in effect or meaning","adjective","11","94","3","",""
"wn30:02058994-v","rush","move fast","verb","4","94","3","",""
"wn30:02627753-v","stem","grow out of, have roots in, originate in","verb","4","94","3","",""
"wn30:02154312-v","spot","catch sight of","verb","4","94","3","",""
"wn30:10548537-n","salesman","a man salesperson","noun","8","94","3","",""
"wn30:08588294-n","interior","the region that is inside of something","noun","8","94","3","",""
"wn30:05682570-n","curiosity","a state in which you want to learn more about something","noun","9","94","3","",""
"wn30:10014939-n","director","someone who controls resources and expenditures","noun","8","94","3","",""
"wn30:00867409-v","question","challenge the accuracy, probity, or propriety of","verb","8","94","3","",""
"wn30:00007703-r","partly","in part; in some degree; not wholly","adverb","6","94","3","",""
"wn30:00788973-n","struggle","an energetic attempt to achieve something","noun","8","94","3","",""
"wn30:14540765-n","danger","the condition of being susceptible to harm or injury","noun","6","94","3","",""
"wn30:06818121-n","arrow","a mark to indicate a direction or relation","noun","5","94","3","",""
"wn30:01963942-v","jump","move forward by leaps and bounds","verb","4","94","3","",""
"wn30:05196582-n","authority","the power or right to give orders or make decisions","noun","9","94","3","",""
"wn30:02400037-v","favor","promote over another","verb","5","94","3","",""
"wn30:00205052-r","right","precisely, exactly","adverb","5","94","3","",""
"wn30:02547586-v","assist","give help or assistance; be of service","verb","6","94","3","",""
"wn30:07906284-n","whisky","a liquor made from fermented mash of grain","noun","6","94","3","",""
"wn30:02495922-a","useful","being of use or service","adjective","6","94","3","",""
"wn30:01905653-a","pure","free of extraneous elements of any kind","adjective","4","94","3","",""
"wn30:00142665-n","comparison","the act of examining resemblances","noun","10","94","3","",""
"wn30:15156187-n","yesterday","the day immediately before today","noun","9","94","3","",""
"wn30:03030663-n","cigarette","finely ground tobacco wrapped in paper; for smoking","noun","9","94","3","",""
"wn30:01101913-v","beat","come out better in a competition, race, or conflict","verb","4","94","3","",""
"wn30:00110533-r","inside","within a building","adverb","6","94","3","",""
"wn30:01825671-a","powerful","having great power or force or potency or effect","adjective","8","94","3","",""
"wn30:00895304-v","defend","argue or speak in defense of","verb","6","94","3","",""
"wn30:08429052-n","column","a line of units following one after another","noun","6","94","3","",""
"wn30:00138060-r","similarly","in like or similar manner","adverb","9","94","3","",""
"wn30:00495663-r","widely","to a great degree","adverb","6","94","3","",""
"wn30:00025728-r","everywhere","to or in any or all places","adverb","10","94","3","",""
"wn30:00604617-a","convenient","suited to your comfort or purpose or needs","adjective","10","94","3","",""
"wn30:02645839-v","matter","have weight; have import, carry weight","verb","6","94","3","",""
"wn30:02887578-a","sexual","of or relating to or characterized by sexuality","adjective","6","94","3","",""
"wn30:09889691-n","candidate","a politician who is running for public office","noun","9","94","3","",""
"wn30:02238770-v","secure","get by special effort","verb","6","94","3","",""
"wn30:05800611-n","investigation","an inquiry into unfamiliar or questionable activities","noun","13","94","3","",""
"wn30:07290905-n","beginning","the event consisting of the start of something","noun","9","94","3","",""
"wn30:05849789-n","characteristic","a prominent attribute or aspect of something","noun","14","94","3","",""
"wn30:05196375-n","control","power to direct or determine","noun","7","94","3","",""
"wn30:13327676-n","loss","something that is lost","noun","4","94","3","",""
"wn30:15282696-n","velocity","distance travelled per unit time","noun","8","94","3","",""
"wn30:02110220-v","experience","go or live through","verb","10","94","3","",""
"wn30:00169806-v","modify","make less severe or harsh or extreme","verb","6","94","3","",""
"wn30:01059564-v","ignore","refuse to acknowledge","verb","6","94","3","",""
"wn30:05799212-n","test","trying something to find out about it","noun","4","94","3","",""
"wn30:10601451-n","sir","term of address for a man","noun","3","94","3","",""
"wn30:01067694-a","fresh","recently made, produced, or harvested","adjective","5","94","3","",""
"wn30:00106921-r","normally","under normal conditions","adverb","8","94","3","",""
"wn30:13867641-n","curve","the trace of a point whose direction of motion changes","noun","5","94","3","",""
"wn30:00865387-v","swear","utter obscenities or profanities","verb","5","94","3","",""
"wn30:07516997-n","rage","a feeling of intense anger","noun","4","94","3","",""
"wn30:00623862-n","difficulty","an effort that is inconvenient","noun","10","94","3","",""
"wn30:03427296-n","gate","a movable barrier in a fence or wall","noun","4","94","3","",""
"wn30:05675601-n","self","your consciousness of your own identity","noun","4","94","3","",""
"wn30:01249724-v","rub","move over something with pressure","verb","3","94","3","",""
"wn30:00974762-n","charge","an impetuous rush toward someone or something","noun","6","94","3","",""
"wn30:07885223-n","drink","a single serving of a beverage","noun","5","94","3","",""
"wn30:01927279-a","emotional","determined or actuated by emotion rather than reason","adjective","9","94","3","",""
"wn30:02867783-a","musical","characterized by or capable of producing music","adjective","7","94","3","",""
"wn30:14543231-n","threat","something that is a source of danger","noun","6","94","3","",""
"wn30:14434866-n","emphasis","special importance or significance","noun","8","94","3","",""
"wn30:01726692-n","snake","limbless scaly elongate reptile; some are venomous","noun","5","94","3","",""
"wn30:01077350-n","prevention","the act of preventing","noun","10","94","3","",""
"wn30:10657969-n","stockholder","someone who holds shares of stock in a corporation","noun","11","94","3","",""
"wn30:07292694-n","outcome","something that results","noun","7","94","3","",""
"wn30:00865387-v","curse","utter obscenities or profanities","verb","5","94","3","",""
"wn30:01392237-v","wipe","rub with a circular motion","verb","4","94","3","",""
"wn30:10488865-n","psychologist","a scientist trained in psychology","noun","12","94","3","",""
"wn30:02304982-v","collect","get or gather together","verb","7","94","3","",""
"wn30:00158309-r","precisely","indicating exactness or preciseness","adverb","9","94","3","",""
"wn30:00177289-r","strongly","with strength or in a strong manner","adverb","8","94","3","",""
"wn30:13934596-n","environment","the totality of surrounding conditions","noun","11","94","3","",""
"wn30:02991122-a","artistic","relating to or characteristic of art or artists","adjective","8","94","3","",""
"wn30:01111816-v","score","gain points in a game","verb","5","94","3","",""
"wn30:02109190-v","suffer","undergo or be subjected to","verb","6","94","3","",""
"wn30:00007846-n","someone","a human being","noun","7","94","3","",""
"wn30:00181075-r","apart","separated or at a distance in place or position or time","adverb","5","94","3","",""
"wn30:03629986-n","laboratory","a workplace for the conduct of scientific research","noun","10","94","3","",""
"wn30:01212572-v","clutch","take hold of; grab","verb","6","94","3","",""
"wn30:02526085-v","attain","to gain with effort","verb","6","94","3","",""
"wn30:00065294-r","twice","two times","adverb","5","94","3","",""
"wn30:02109678-a","separate","independent; not united or joint","adjective","8","94","3","",""
"wn30:01410223-v","strike","deliver a sharp blow, as with the hand, fist, or weapon","verb","6","94","3","",""
"wn30:06642138-n","news","information about recent and important events","noun","4","94","3","",""
"wn30:07573696-n","meal","the food served and eaten at one time","noun","4","94","3","",""
"wn30:00732960-a","desirable","worth having or seeking or achieving","adjective","9","94","3","",""
"wn30:14235200-n","tumor","an abnormal new mass of tissue that serves no purpose","noun","5","94","3","",""
"wn30:02704818-v","weigh","have a certain weight","verb","5","94","3","",""
"wn30:02849154-n","blanket","bedding that keeps a person warm in bed","noun","7","94","3","",""
"wn30:06791372-n","signal","any nonverbal action or gesture that encodes a message","noun","6","94","3","",""
"wn30:07527352-n","joy","the emotion of great happiness","noun","3","94","3","",""
"wn30:07015510-n","comedy","light and humorous drama with a happy ending","noun","6","94","3","",""
"wn30:02618149-v","survive","continue to live through hardship or adversity","verb","7","94","3","",""
"wn30:00761713-v","negotiate","discuss the terms of an arrangement","verb","9","94","3","",""
"wn30:01633343-v","conceive","have the idea for","verb","8","94","3","",""
"wn30:01133281-n","management","the act of managing something","noun","10","94","3","",""
"wn30:10034906-n","driver","the operator of a motor vehicle","noun","6","94","3","",""
"wn30:01121719-v","charge","to make a rush at or sudden attack upon, as in battle","verb","6","94","3","",""
"wn30:02621853-v","separate","act as a barrier between; stand between","verb","8","94","3","",""
"wn30:08287844-n","culture","a particular society at a particular time and place","noun","7","94","3","",""
"wn30:00120095-r","simultaneously","at the same instant","adverb","14","94","3","",""
"wn30:01215137-v","arrest","take into custody","verb","6","94","3","",""
"wn30:01943406-a","reasonable","showing reason or sound judgment","adjective","10","94","3","",""
"wn30:00350104-v","resume","take up or begin anew","verb","6","94","3","",""
"wn30:08645963-n","scene","the place where some action occurs","noun","5","94","3","",""
"wn30:05951180-n","possibility","a future prospect or potential","noun","11","94","3","",""
"wn30:02704928-v","last","persist for a specified period of time","verb","4","94","3","",""
"wn30:05707269-n","exception","a deliberate act of omission","noun","9","94","3","",""
"wn30:00037226-r","truly","in accordance with truth or fact or reality","adverb","5","94","3","",""
"wn30:13356112-n","funds","assets in the form of money","noun","5","94","3","",""
"wn30:00088931-r","continually","seemingly without interruption","adverb","11","94","3","",""
"wn30:00864159-v","condemn","express strong disapproval of","verb","7","94","3","",""
"wn30:14856893-n","sewage","waste matter carried away in sewers or drains","noun","6","94","3","",""
"wn30:02050452-a","rural","living in or characteristic of farming or country life","adjective","5","94","3","",""
"wn30:00637259-v","calculate","make a mathematical calculation or computation","verb","9","94","3","",""
"wn30:05819453-n","truth","a fact that has been verified","noun","5","94","3","",""
"wn30:00048475-r","today","in these times","adverb","5","94","3","",""
"wn30:05941423-n","belief","any cognitive content held as true","noun","6","94","3","",""
"wn30:02586121-v","persuade","win approval or support for","verb","8","94","3","",""
"wn30:00100002-r","little","not much","adverb","6","94","3","",""
"wn30:04683814-n","beauty","the qualities that give pleasure to the senses","noun","6","94","3","",""
"wn30:08060446-n","manufacturer","a business engaged in manufacturing some product","noun","12","94","3","",""
"wn30:00066191-v","weep","shed tears because of sadness, rage, or pain","verb","4","94","3","",""
"wn30:08324514-n","committee","a special group delegated to consider some matter","noun","9","94","3","",""
"wn30:04673965-n","appearance","outward or visible aspect of a person or thing","noun","10","94","3","",""
"wn30:04490091-n","truck","an automotive vehicle suitable for hauling","noun","5","94","3","",""
"wn30:00070166-r","softly","with low volume","adverb","6","94","3","",""
"wn30:09416076-n","stone","a lump or mass of hard consolidated mineral matter","noun","5","94","3","",""
"wn30:00053952-r","presumably","by reasonable assumption","adverb","10","94","3","",""
"wn30:10508710-n","reader","a person who enjoys reading","noun","6","94","3","",""
"wn30:00752764-v","request","express the need or desire for; ask for","verb","7","93","3","",""
"wn30:07224151-n","warning","a message informing of danger","noun","7","93","3","",""
"wn30:02631163-v","combine","have or possess in combination","verb","7","93","3","",""
"wn30:02066510-v","flow","move or progress freely as if in a stream","verb","4","93","3","",""
"wn30:08591592-n","lawn","a field of cultivated and mowed grass","noun","4","93","3","",""
"wn30:02069551-v","pour","cause to run","verb","4","93","3","",""
"wn30:00964343-n","combat","an engagement fought between two military forces","noun","6","93","3","",""
"wn30:09304465-n","hole","an opening into or through something","noun","4","93","3","",""
"wn30:00073897-r","mainly","for the most part","adverb","6","93","3","",""
"wn30:01736822-v","reproduce","make a copy or equivalent of","verb","9","93","3","",""
"wn30:09416076-n","rock","a lump or mass of hard consolidated mineral matter","noun","4","93","3","",""
"wn30:00559690-a","crowded","overfilled or compacted or concentrated","adjective","7","93","3","",""
"wn30:00438178-v","accelerate","move faster","verb","10","93","3","",""
"wn30:07020538-n","dance","an artistic form of nonverbal communication","noun","5","93","3","",""
"wn30:00693780-v","deem","keep in mind or convey as a conviction or view","verb","4","93","3","",""
"wn30:02554422-v","foster","promote the growth of","verb","6","93","3","",""
"wn30:00050817-r","firmly","with resolute determination","adverb","6","93","3","",""
"wn30:01319874-a","innocent","free from evil or guilt","adjective","8","93","3","",""
"wn30:00073897-r","chiefly","for the most part","adverb","7","93","3","",""
"wn30:06304671-n","syllable","a unit of spoken language larger than a phoneme","noun","8","93","3","",""
"wn30:01644050-v","induce","cause to arise","verb","6","93","3","",""
"wn30:01482449-v","pack","arrange in a container","verb","4","93","3","",""
"wn30:01827858-v","admire","feel admiration for","verb","6","93","3","",""
"wn30:01872745-a","profound","showing intellectual penetration or emotional depth","adjective","8","93","3","",""
"wn30:00588221-v","comprehend","get the meaning of something","verb","10","93","3","",""
"wn30:03002617-a","paramagnetic","of or relating to a paramagnet","adjective","12","93","3","",""
"wn30:00648224-v","explore","inquire into","verb","7","93","3","",""
"wn30:02940392-a","experimental","relating to or based on experiment","adjective","12","93","3","",""
"wn30:06797169-n","indication","something that serves to indicate or suggest","noun","10","93","3","",""
"wn30:01656788-v","assemble","create by putting components or members together","verb","8","93","3","",""
"wn30:00094545-r","upstairs","on a floor above","adverb","8","93","3","",""
"wn30:01413247-a","probable","likely but not certain to be or become true or real","adjective","8","93","3","",""
"wn30:07416714-n","occasion","an event that occurs at a critical time","noun","8","93","3","",""
"wn30:00544011-v","transform","subject to a mathematical transformation","verb","9","93","3","",""
"wn30:00775156-v","quarrel","have a disagreement over something","verb","7","93","3","",""
"wn30:01805982-v","appreciate","recognize with gratitude; be grateful for","verb","10","93","3","",""
"wn30:09271904-n","electron","an elementary particle with negative charge","noun","8","93","3","",""
"wn30:02833544-a","bacterial","relating to or caused by bacteria","adjective","9","93","3","",""
"wn30:01055165-n","camping","the act of encamping and living in tents in a camp","noun","7","93","3","",""
"wn30:02053941-v","near","move towards","verb","4","93","3","",""
"wn30:00121002-r","thereby","by that means or because of that","adverb","7","93","3","",""
"wn30:06021761-n","average","a statistic describing the location of a distribution","noun","7","93","3","",""
"wn30:01371756-v","kick","drive or propel with the foot","verb","4","93","3","",""
"wn30:00700451-a","definite","precise; explicit and clearly defined","adjective","8","93","3","",""
"wn30:01160342-n","punishment","the act of punishing","noun","10","93","3","",""
"wn30:03020193-a","utopian","of or pertaining to or resembling a utopia","adjective","7","93","3","",""
"wn30:05712076-n","sensation","an unelaborated elementary awareness of stimulation","noun","9","93","3","",""
"wn30:08240169-n","band","an unofficial association of people or groups","noun","4","93","3","",""
"wn30:02773838-n","suitcase","a portable rectangular container for carrying clothes","noun","8","93","3","",""
"wn30:07120524-n","cry","a loud utterance; often in protest or opposition","noun","3","93","3","",""
"wn30:06371413-n","legend","a story about mythical or supernatural beings or events","noun","6","93","3","",""
"wn30:03589791-n","jacket","a short coat","noun","6","93","3","",""
"wn30:00921014-a","exciting","creating or arousing excitement","adjective","8","93","3","",""
"wn30:00838043-v","pretend","make believe with the intent to deceive","verb","7","93","3","",""
"wn30:05203397-n","capacity","capability to perform or produce","noun","8","93","3","",""
"wn30:08539072-n","downtown","the central area or commercial center of a town or city","noun","8","93","3","",""
"wn30:02080577-a","satisfactory","giving satisfaction","adjective","12","93","3","",""
"wn30:14008806-n","operation","the state of being in effect or being operative","noun","9","93","3","",""
"wn30:15155891-n","tomorrow","the day after today","noun","8","93","3","",""
"wn30:02427916-v","enact","order by virtue of superior authority; decree","verb","5","93","3","",""
"wn30:00418563-v","stiffen","become stiff or stiffer","verb","7","93","3","",""
"wn30:14324274-n","suffering","a state of acute pain","noun","9","93","3","",""
"wn30:00759269-v","beg","call upon in supplication; entreat","verb","3","93","3","",""
"wn30:00787465-n","contribution","the part played by a person in bringing about a result","noun","12","93","3","",""
"wn30:08390157-n","infantry","an army unit consisting of soldiers who fight on foot","noun","8","93","3","",""
"wn30:00897241-v","greet","express greetings upon meeting someone","verb","5","93","3","",""
"wn30:13744304-n","four","the cardinal number that is the sum of three and one","noun","4","93","3","",""
"wn30:01212572-v","seize","take hold of; grab","verb","5","93","3","",""
"wn30:00248659-v","progress","develop in a positive way","verb","8","93","3","",""
"wn30:04566257-n","arms","weapons considered collectively","noun","4","93","3","",""
"wn30:14456054-n","vacuum","the absence of matter","noun","6","93","3","",""
"wn30:02582615-v","commit","perform an act, usually with a negative connotation","verb","6","93","3","",""
"wn30:02679012-v","qualify","prove capable or fit; meet requirements","verb","7","93","3","",""
"wn30:02531199-v","strive","attempt by employing effort","verb","6","93","3","",""
"wn30:00326324-r","effectively","in an effective manner","adverb","11","93","3","",""
"wn30:03046257-n","clock","a timepiece that shows the time of day","noun","5","93","3","",""
"wn30:04344246-n","studio","workplace for the teaching or practice of an art","noun","6","93","3","",""
"wn30:07520612-n","terror","an overwhelming feeling of fear and anxiety","noun","6","93","3","",""
"wn30:11422597-n","aerosol","a cloud of solid or liquid particles in a gas","noun","7","93","3","",""
"wn30:08646902-n","landscape","an expanse of scenery that can be seen in a single view","noun","9","93","3","",""
"wn30:02209624-n","bumblebee","robust hairy social bee of temperate regions","noun","9","93","3","",""
